Fatal_Accident_Index,Month_of_Accident,Hour_of_Accident,Longitude,Latitude,Pedestrian_Casualties,Pedal_Cycles,Motor_Cycles,Cars,Buses_or_Coaches,Vans,HGVs,Other_Vehicles,Total_Vehicles_Involved,Fatal_Casualties,Serious_Casualties,Slight_Casualties,Total_Number_of_Casualties
"200601CP00117",May       ,16,-0.088176,51.509763,1,0,1,1,0,0,0,0,2,1,0,0,1
"200601TA00014",January   ,22,-0.130332,51.507925,1,0,0,0,1,0,0,0,1,1,0,1,2
"200601TA00032",February  ,09,-0.067844,51.574718,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TA00055",January   ,16,-0.082726,51.577749,0,0,1,1,0,0,0,0,2,1,0,0,1
"200601TA00075",April     ,07,-0.141247,51.537145,0,0,1,1,0,0,0,0,2,1,0,0,1
"200601TA00077",April     ,16,-0.165661,51.553986,1,0,0,0,1,0,0,0,1,1,0,0,1
"200601TA00086",April     ,00,-0.17107,51.519808,0,0,1,0,0,0,0,0,1,1,0,0,1
"200601TA00094",May       ,11,-0.147067,51.514576,1,0,0,0,1,0,0,0,1,1,0,0,1
"200601TA00099",May       ,17,-0.120428,51.517479,1,0,0,0,1,0,0,0,1,1,0,0,1
"200601TA00105",May       ,01,-0.201278,51.492129,0,0,0,3,0,0,0,0,3,1,0,2,3
"200601TA00118",June      ,07,-0.069561,51.588684,1,0,0,0,1,0,0,0,1,1,0,0,1
"200601TA00119",June      ,12,-0.167685,51.517957,1,0,0,0,1,0,0,0,1,1,0,0,1
"200601TA00144",July      ,13,-0.114163,51.553979,1,0,0,0,0,0,1,0,1,1,0,0,1
"200601TA00149",July      ,18,-0.127468,51.528563,0,1,0,0,0,0,1,0,2,1,0,0,1
"200601TA00150",July      ,14,-0.161643,51.514086,2,0,0,0,1,0,0,0,1,1,1,0,2
"200601TA00153",July      ,18,-0.081482,51.624401,0,0,1,1,0,0,0,0,2,1,0,0,1
"200601TA00154",July      ,09,-0.092066,51.599394,0,0,1,0,0,0,1,0,2,1,0,0,1
"200601TA00173",July      ,20,-0.10191,51.588403,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TA00174",August    ,19,-0.172277,51.522075,1,0,0,0,0,0,1,0,1,1,0,0,1
"200601TA00175",July      ,16,-0.137797,51.515688,1,0,0,0,1,0,0,0,1,1,0,0,1
"200601TA00195",July      ,09,-0.098891,51.577743,1,0,0,0,1,0,0,0,1,1,0,0,1
"200601TA00199",September ,20,-0.1768,51.495438,0,0,1,1,0,0,0,0,2,1,0,0,1
"200601TA00200",September ,21,-0.122302,51.559505,0,1,0,1,0,0,0,0,2,1,0,0,1
"200601TA00205",September ,13,-0.188654,51.53438,0,1,0,1,0,0,0,0,2,1,0,0,1
"200601TA00209",September ,17,-0.12112,51.59168,0,0,1,0,0,0,0,0,1,1,0,0,1
"200601TA00210",September ,21,-0.132444,51.509128,1,0,1,0,0,0,0,0,1,1,0,0,1
"200601TA00212",September ,20,-0.151049,51.515897,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TA00240",October   ,08,-0.179156,51.486931,0,1,0,0,0,0,1,0,2,1,0,0,1
"200601TA00243",October   ,14,-0.158116,51.522933,1,0,0,0,0,0,1,0,1,1,0,0,1
"200601TA00263",November  ,09,-0.175246,51.541546,1,0,0,0,1,0,0,0,1,1,0,0,1
"200601TA00274",November  ,02,-0.185206,51.519578,0,0,0,1,0,0,0,0,1,1,1,0,2
"200601TA00276",November  ,07,-0.07252,51.573356,0,1,0,1,0,0,0,0,2,1,1,0,2
"200601TA00278",December  ,12,-0.189236,51.512447,0,0,0,2,0,1,0,0,3,1,0,0,1
"200601TA00292",December  ,09,-0.126681,51.533676,0,1,0,0,0,0,1,0,2,1,0,0,1
"200601TA00293",December  ,02,-0.122625,51.530644,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TA00294",December  ,04,-0.083459,51.604919,0,0,0,1,0,0,0,0,1,1,0,0,1
"200601TA00296",December  ,17,-0.16508,51.554067,1,0,0,0,1,0,0,0,1,1,0,0,1
"200601TB00007",January   ,03,-0.251078,51.583527,0,0,0,1,0,0,0,1,2,1,3,0,4
"200601TB00012",January   ,05,-0.472678,51.539411,0,0,0,1,0,0,0,0,1,1,0,0,1
"200601TB00013",January   ,11,-0.35242,51.527262,1,0,0,0,1,0,0,0,1,1,0,0,1
"200601TB00019",January   ,19,-0.262888,51.519855,1,0,1,0,0,0,0,0,1,1,1,0,2
"200601TB00029",February  ,10,-0.275001,51.508254,0,1,0,0,0,0,1,0,2,1,0,0,1
"200601TB00031",February  ,19,-0.232281,51.580637,0,0,0,2,0,1,0,0,3,1,0,0,1
"200601TB00050",February  ,19,-0.256153,51.639445,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TB00058",March     ,22,-0.250838,51.559693,1,0,0,0,1,0,0,0,1,1,0,0,1
"200601TB00068",March     ,19,-0.219088,51.593207,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TB00084",March     ,18,-0.181276,51.585613,1,0,1,0,0,0,0,0,1,1,0,0,1
"200601TB00087",April     ,09,-0.299021,51.540438,1,0,0,0,0,0,1,0,1,1,0,0,1
"200601TB00099",April     ,15,-0.173724,51.601143,0,0,0,0,0,1,0,0,1,1,0,0,1
"200601TB00100",April     ,20,-0.274182,51.621367,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TB00103",April     ,19,-0.331265,51.577501,0,0,0,2,0,0,0,0,2,1,0,0,1
"200601TB00116",April     ,15,-0.421634,51.522639,0,0,0,1,0,0,0,0,1,1,0,0,1
"200601TB00118",May       ,16,-0.254591,51.589784,0,0,1,1,0,0,0,0,2,1,0,0,1
"200601TB00124",May       ,00,-0.329284,51.50949,1,0,0,2,0,0,0,0,2,1,0,1,2
"200601TB00149",June      ,05,-0.272904,51.544643,0,1,0,1,0,0,0,0,2,1,0,0,1
"200601TB00153",June      ,01,-0.253537,51.557036,0,0,1,0,0,0,0,0,1,1,0,0,1
"200601TB00155",June      ,03,-0.344333,51.539558,1,0,0,0,0,0,1,0,1,1,0,0,1
"200601TB00156",June      ,03,-0.217859,51.584016,1,0,0,0,1,0,0,0,1,1,0,0,1
"200601TB00158",June      ,23,-0.465816,51.567647,1,0,0,2,0,0,0,0,2,1,1,1,3
"200601TB00160",June      ,20,-0.365833,51.51504,0,0,1,2,0,0,0,0,3,1,0,3,4
"200601TB00164",July      ,15,-0.395965,51.514737,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TB00171",July      ,15,-0.245836,51.535968,1,0,0,0,0,0,1,0,1,1,0,0,1
"200601TB00179",July      ,12,-0.197999,51.597112,0,0,1,0,0,0,1,0,2,1,0,0,1
"200601TB00190",July      ,20,-0.248044,51.613606,0,0,0,1,0,0,0,0,1,1,0,0,1
"200601TB00203",August    ,12,-0.414056,51.533327,0,0,1,1,0,0,0,0,2,1,0,1,2
"200601TB00205",August    ,00,-0.213757,51.574512,1,0,1,0,0,0,0,0,1,2,0,0,2
"200601TB00209",September ,02,-0.216846,51.595152,0,0,0,4,0,0,0,0,4,1,0,0,1
"200601TB00215",August    ,21,-0.253836,51.632037,1,0,0,3,0,0,0,0,3,1,0,0,1
"200601TB00219",August    ,18,-0.282312,51.513127,0,0,1,1,0,0,0,0,2,1,0,0,1
"200601TB00227",September ,11,-0.228824,51.547043,0,0,0,0,1,0,0,0,1,1,0,0,1
"200601TB00233",October   ,23,-0.337038,51.577493,0,0,1,2,0,0,0,0,3,1,1,0,2
"200601TB00240",October   ,04,-0.254852,51.552829,0,0,1,0,0,0,0,0,1,1,1,0,2
"200601TB00241",October   ,08,-0.272973,51.626565,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TB00256",November  ,06,-0.312314,51.563112,0,0,0,1,0,0,1,0,2,1,0,1,2
"200601TB00266",November  ,23,-0.227104,51.572736,0,0,0,2,0,0,0,0,2,1,0,2,3
"200601TB00268",November  ,04,-0.152876,51.630942,0,0,0,1,0,0,0,0,1,1,0,3,4
"200601TB00283",December  ,12,-0.263697,51.521306,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TB00286",December  ,19,-0.358575,51.588587,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TB00293",December  ,18,-0.21776,51.55335,1,0,0,3,0,0,0,0,3,1,0,0,1
"200601TB09031",December  ,23,-0.33002,51.532701,0,0,0,3,1,0,0,0,4,1,0,1,2
"200601TC00015",January   ,23,-0.067353,51.650877,0,0,2,1,0,0,0,0,3,1,0,1,2
"200601TC00018",January   ,22,-0.085742,51.609003,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TC00027",February  ,16,-0.010321,51.507209,0,0,0,3,0,0,0,0,3,2,0,1,3
"200601TC00030",February  ,07,-0.111457,51.667961,0,0,0,2,0,0,0,0,2,1,2,0,3
"200601TC00036",February  ,16,-0.072493,51.573985,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TC00045",February  ,18,-0.056007,51.557885,1,0,0,1,0,0,0,0,1,1,0,0,1
"200601TC00051",February  ,22,-0.03294,51.64437,0,0,0,3,0,0,0,0,3,2,0,2,4
"200601TC00061",March     ,10,0.115959,51.542319,1,0,0,1,0,0,0,0,1,1,0,0,1
